word,embedding
CUSTOMER,"[0.20519404113292694, -0.24208982288837433, 0.616807758808136, -0.07670477032661438, 0.7584658265113831, -0.5743628740310669, -1.491083025932312, -0.9497590661048889, -0.4130553901195526, -1.767843246459961, -0.9556111693382263, 0.5575256943702698, -0.20962809026241302, -0.7269231677055359, -0.5779424905776978, -0.28117313981056213]"
CUSTOMER_ADDRESS,"[-0.39618343114852905, -0.6384736895561218, 0.2526141107082367, 0.4802676737308502, 0.44731009006500244, -0.2424541562795639, -1.933544397354126, -1.1228069067001343, -1.1723699569702148, -1.8055839538574219, -0.38258907198905945, 1.4086732864379883, -0.2699543833732605, 0.013295043259859085, -0.7804596424102783, -0.20095427334308624]"
CUSTOMER_TOTAL_RETURN,"[-0.04341266304254532, 0.05748425051569939, 0.23583434522151947, 0.0024278131313622, 0.1456580013036728, -0.11954061686992645, -0.23394489288330078, -0.13797587156295776, -0.1260175108909607, -0.3885307013988495, -0.13063301146030426, 0.11729014664888382, 0.0020710511598736048, 0.08846279233694077, 0.04413696005940437, 0.03122822567820549]"
CUSTSALE,"[0.13049493730068207, 0.2266998291015625, 0.28036853671073914, 0.03917888179421425, 0.5305745601654053, -0.23770460486412048, -0.23402433097362518, 0.3324708640575409, -0.04797786846756935, -0.8510239720344543, -0.4378395974636078, 0.026415439322590828, -0.0554254986345768, 0.3107169568538666, -0.26643112301826477, 0.4301736652851105]"
C_ACCTBAL,"[0.5473242998123169, 0.09015811234712601, 0.8188815712928772, -0.2085522562265396, 0.5383809804916382, -0.3804711401462555, -0.2697405219078064, -0.16193684935569763, -0.49010950326919556, -0.6953096985816956, -0.754126787185669, -0.16957420110702515, -0.3610494136810303, 0.3196884095668793, -0.5607057213783264, 0.9311914443969727]"
C_COUNT,"[0.022466911002993584, 0.13430827856063843, 0.18033520877361298, -0.19266453385353088, 0.6470130681991577, -0.10683999955654144, -0.5168650150299072, 0.0174605380743742, -0.07812955975532532, -0.6838533282279968, -0.7230150699615479, 0.3971218764781952, -0.43085941672325134, 0.12700122594833374, -0.5108920931816101, 0.36694586277008057]"
C_CURRENT_ADDR_SK,"[0.3435527980327606, -1.2209491729736328, 0.2459619641304016, 0.8895058631896973, 0.9171241521835327, -0.2681414783000946, -2.272735595703125, -1.0899536609649658, -0.6052981615066528, -2.052654981613159, -0.01978609524667263, 1.9246509075164795, -0.28998473286628723, -0.08507712930440903, -1.1490695476531982, 0.394256591796875]"
C_CUSTKEY,"[-0.19144222140312195, -0.4335979223251343, 0.5588027238845825, 0.8057892322540283, 1.8523459434509277, -0.8752148747444153, -1.0809258222579956, 1.2557485103607178, -0.3913290500640869, -1.0690183639526367, -0.010343317873775959, 0.2587781250476837, 1.076838731765747, 1.4403859376907349, -0.6223586201667786, 0.5871688723564148]"
C_CUSTOMER_SK,"[-0.8535473942756653, -0.011843699030578136, 0.9276366233825684, 0.9189742207527161, 0.13156047463417053, -0.5560209155082703, -3.0565707683563232, -1.2086105346679688, 0.020994117483496666, -2.552609443664551, -0.06386446952819824, 0.8897826075553894, 0.2641843557357788, -0.6268574595451355, -1.3478684425354004, 0.017392072826623917]"
C_MKTSEGMENT,"[0.3538711369037628, 0.2970935106277466, 0.34383511543273926, 0.03756001964211464, 0.4600951075553894, 0.0142621835693717, -0.32060715556144714, 0.04001355171203613, 0.13494011759757996, -0.43855348229408264, 0.039645299315452576, 0.21388785541057587, 0.1612687110900879, 0.17626146972179413, 0.10197236388921738, 0.31142547726631165]"
C_NATIONKEY,"[-0.2645094096660614, -0.5239096879959106, 0.5092998147010803, 0.48492464423179626, 1.2783982753753662, -0.707568347454071, -0.5665662884712219, 1.3286536931991577, 0.6482888460159302, -1.75456964969635, 0.49375951290130615, 0.7099473476409912, 1.2224351167678833, 1.0745755434036255, -0.03454016521573067, 0.939710259437561]"
C_ORDERS,"[0.04331755265593529, 0.23507867753505707, 0.23738691210746765, 0.19835251569747925, 0.7560138702392578, -0.15143786370754242, -0.3775346577167511, 0.4590504467487335, 0.03336222097277641, -0.9712395071983337, -0.6780303120613098, 0.19452573359012604, -0.09039013832807541, 0.2817181944847107, -0.2502862811088562, 0.35853710770606995]"
C_PHONE,"[0.4684966504573822, 0.3029327094554901, 0.39764416217803955, -0.3576858937740326, 0.500272274017334, -0.41364845633506775, -0.30227699875831604, -0.21707376837730408, -0.10009059309959412, -0.8528411388397217, -0.4973618686199188, -0.08373579382896423, -0.2761657238006592, 0.3050096333026886, -0.5018062591552734, 0.8612545728683472]"
DATE,"[-0.9727345705032349, 1.3939038515090942, 2.3798632621765137, 1.2135648727416992, 1.4543322324752808, 0.3292941153049469, 0.0811937153339386, 1.588111400604248, 0.6299579739570618, -1.5347962379455566, -0.4145451486110687, 0.5388139486312866, -0.5788543224334717, 1.0381884574890137, 0.5218719244003296, 1.0120556354522705]"
DATE_DIM,"[0.9416909217834473, 2.5712101459503174, 1.426167368888855, -0.4147501289844513, 0.5035547614097595, -1.425860047340393, -1.1987109184265137, -2.164754629135132, 0.020988261327147484, -0.8891173005104065, -0.11400159448385239, 0.4562409818172455, -0.19426096975803375, -1.106872797012329, 0.005414807237684727, 0.21565687656402588]"
DAY,"[-0.43899041414260864, 1.3292280435562134, 0.9532432556152344, 0.146677628159523, 1.4919935464859009, 0.892967700958252, -0.4264783263206482, 0.2695283889770508, 0.3334127366542816, -0.9408740997314453, -1.065517544746399, 0.9211795330047607, -0.12578311562538147, 0.8881141543388367, -0.04279342293739319, 0.3235917091369629]"
DESC,"[0.07684031873941422, 0.17394383251667023, 0.25919950008392334, -0.2734932601451874, 0.41548264026641846, -0.20881877839565277, -0.4510609209537506, -0.13740694522857666, 0.07219491899013519, -0.6692060828208923, -0.5512866973876953, 0.3025658130645752, -0.39515450596809387, 0.14395003020763397, -0.4924420118331909, 0.40855857729911804]"
DISTINCT,"[0.2445150762796402, 0.5557283163070679, 0.20442235469818115, -0.2316892445087433, 0.5531980991363525, -0.29020956158638, -0.42015233635902405, -0.03327295556664467, -0.042003512382507324, -1.2276477813720703, -0.8025383353233337, -0.09434064477682114, -0.42058515548706055, 0.24399462342262268, -0.5592228770256042, 0.7371399998664856]"
DOWNVOTES,"[-0.223188579082489, 0.18831665813922882, 1.1521155834197998, -0.40787404775619507, 0.22988352179527283, 0.3487498462200165, -0.5335370302200317, 0.3493872582912445, 0.059318721294403076, -0.542521059513092, -0.3298291563987732, 0.37676873803138733, 0.18686716258525848, 0.10568277537822723, 0.2660631239414215, 0.18627190589904785]"
D_DATE,"[-0.47146615386009216, 1.2996184825897217, 0.3934180438518524, 0.43631649017333984, 0.3836026191711426, 0.12935903668403625, -0.11439967900514603, 0.1970340460538864, -0.288700670003891, -1.6559934616088867, -0.9982694983482361, 0.22640329599380493, 0.11231858283281326, 0.6176866292953491, 0.04062380641698837, 0.8945966362953186]"
D_DATE_SK,"[0.43390989303588867, -0.3569720685482025, 1.8353800773620605, 0.9119018912315369, 1.7521882057189941, 0.1206916943192482, -1.7085821628570557, -1.7573883533477783, 0.23213472962379456, -2.4176547527313232, -0.5733848214149475, 1.079417109489441, -1.3131848573684692, -1.0804944038391113, 1.482571005821228, -0.4355229139328003]"
D_DOM,"[-0.055597491562366486, 2.296546220779419, 1.1487706899642944, 0.3336564302444458, 0.28989335894584656, -0.023279963061213493, -0.36722829937934875, -0.39387083053588867, -0.25075778365135193, -1.910965085029602, 0.3389003574848175, 0.31119635701179504, 1.110025405883789, 1.4722247123718262, 0.7373305559158325, 0.9467262625694275]"
D_DOW,"[0.7251386642456055, 0.7183974385261536, 0.217122420668602, -0.4015415906906128, 0.669080913066864, -0.38827580213546753, -0.1640479862689972, -0.5784981846809387, 0.5553427338600159, -1.0989850759506226, 0.2768012285232544, 0.20749633014202118, -0.37930169701576233, 0.5524255633354187, -0.39883074164390564, 1.1441185474395752]"
D_MONTH_SEQ,"[0.3720925748348236, 0.10648702085018158, 0.23011097311973572, -0.22325512766838074, 0.21710710227489471, -0.16894522309303284, -0.4780304729938507, -0.0728469043970108, 0.0027816554065793753, -0.9355524778366089, -0.5471904873847961, 0.15591050684452057, -0.3719858229160309, -0.04744568094611168, -0.31013479828834534, 0.8053076863288879]"
D_MOY,"[1.0270243883132935, 1.6863772869110107, 1.0373032093048096, 0.6528842449188232, 0.9150490164756775, 0.157224640250206, -0.9737668633460999, -0.26221805810928345, 0.3209973871707916, -2.0431325435638428, -0.23628763854503632, -0.31001946330070496, -0.4029344916343689, -0.31925466656684875, 0.8318207263946533, 1.0081627368927002]"
D_QOY,"[0.0918501615524292, 0.059915028512477875, 0.2325512319803238, -0.05744441971182823, 0.16098792850971222, -0.10584449023008347, -0.1333315074443817, -0.08119547367095947, 0.011148029938340187, -0.32676759362220764, -0.12475360929965973, 0.16288770735263824, 0.012450807727873325, 0.08343105763196945, -0.06917044520378113, 0.09963411092758179]"
D_QUARTER_NAME,"[0.6174753904342651, 0.9954899549484253, 0.16132599115371704, 0.1281319558620453, 0.3907870054244995, -0.465925931930542, -0.8673855066299438, -1.134389877319336, 0.8670082688331604, -1.7399075031280518, 0.5558552145957947, 0.5558580756187439, -1.5404599905014038, 0.07430586963891983, 0.32126787304878235, 1.188491702079773]"
D_YEAR,"[1.333656668663025, 1.5301268100738525, 1.0414552688598633, 0.11358801275491714, 1.005128264427185, 0.4457889497280121, -0.8368188738822937, -1.1968994140625, 1.188132882118225, -1.9039466381072998, 0.1866723597049713, -0.29935020208358765, -0.0880717858672142, 0.018229536712169647, 0.21203719079494476, 0.805736780166626]"
ELSE,"[1.0140479803085327, 0.08389487117528915, 1.6597328186035156, -0.05242208391427994, 0.37866681814193726, -0.09899561107158661, 0.052040308713912964, -0.7410708069801331, -1.2982828617095947, -1.7789734601974487, -0.028712572529911995, 0.6804831027984619, 0.117708720266819, 1.5467524528503418, 0.036311130970716476, 0.5465042591094971]"
END,"[0.9815436601638794, 0.43102315068244934, 1.7856961488723755, -0.23465274274349213, 0.36942896246910095, -0.33925163745880127, 0.011755665764212608, -0.3050512671470642, -1.0231252908706665, -1.3021976947784424, -0.016073033213615417, 0.28879112005233765, -0.12447437644004822, 1.5216115713119507, -0.10201678425073624, 0.5618061423301697]"
EPISODE_NR,"[0.3522408604621887, 0.8316031694412231, 2.164710283279419, -0.2217809110879898, 0.2444087266921997, 0.2246362715959549, -0.32837802171707153, 0.09493396431207657, -0.03874422237277031, -0.2591944634914398, 0.01199777889996767, 1.4927191734313965, -0.6245133876800537, -0.032654695212841034, 0.4971456825733185, 1.0047308206558228]"
EXCERPTPOSTID,"[0.021148569881916046, 0.009000170975923538, 0.10734409838914871, -0.06990251690149307, 0.048906125128269196, -0.030244065448641777, -0.13980698585510254, 0.045373689383268356, 0.05777980759739876, -0.1655372828245163, -0.0691244900226593, 0.03353586792945862, 0.011874184012413025, 0.015013966709375381, -0.022279923781752586, 0.0708111822605133]"
EXISTS,"[-0.012606569565832615, 0.19813191890716553, 0.1716843545436859, -0.4987770915031433, 0.5145252346992493, -0.7975878715515137, -1.1929190158843994, -0.24406912922859192, -0.508060097694397, -0.7960911393165588, -0.8247158527374268, 0.5404772162437439, -0.7166000008583069, 1.633292555809021, -1.202741026878357, 2.9029462337493896]"
FAVORITECOUNT,"[-0.12259828299283981, 0.5702733993530273, 1.5622981786727905, -0.46859022974967957, 0.03940856456756592, 0.5112311840057373, -0.8376257419586182, 0.277713418006897, -0.07274754345417023, -0.5438390970230103, -0.4589310884475708, 0.6571931838989258, 0.5346541404724121, 0.24936628341674805, 0.018055032938718796, 0.4319395124912262]"
FOR,"[0.7220970988273621, 0.5064665675163269, 0.3160807490348816, -0.48824459314346313, 0.5930786728858948, -0.3765145242214203, -0.19194921851158142, -0.33119654655456543, 0.23330821096897125, -0.9095630049705505, -0.28730714321136475, -0.008729280903935432, -0.3237708806991577, 0.3119334280490875, -0.4483620822429657, 0.9822353720664978]"
FROM,"[0.7692732214927673, -0.004544881638139486, -0.2233482152223587, -0.5879285335540771, 1.2805540561676025, -2.227679491043091, -1.217507004737854, 0.6136373281478882, -0.9875819087028503, -1.2814991474151611, -0.14299850165843964, 0.2237703800201416, -1.3418487310409546, -0.10562175512313843, -0.65478515625, 1.7763447761535645]"
GENDER,"[-0.9904273152351379, 1.4642008543014526, -0.7047799229621887, 0.6273888945579529, 0.6310296654701233, -1.0698500871658325, -1.3847308158874512, -0.7183433175086975, -0.9165546298027039, -1.1505019664764404, 0.6148235201835632, 0.5254656672477722, -0.21384930610656738, 1.836421012878418, 1.36061692237854, 1.5414416790008545]"
GROUP,"[-0.24017690122127533, 0.13463297486305237, -0.06541772186756134, 0.22699202597141266, 0.8199830055236816, -0.1631975620985031, -0.396094411611557, 0.49412453174591064, 0.023897117003798485, -0.6881780624389648, -0.8911256790161133, 0.27890801429748535, -0.17776677012443542, 0.5072581171989441, -0.5142843127250671, 0.6651474237442017]"
HD_BUY_POTENTIAL,"[-0.3011331558227539, 1.0793113708496094, -0.7062051296234131, 0.6771631836891174, 1.4395442008972168, -0.04920745640993118, -1.4105197191238403, -1.5878164768218994, 0.21216438710689545, -1.4508628845214844, 0.06631993502378464, 0.42960843443870544, -0.1785481721162796, 2.340237617492676, 0.2602423429489136, 0.15302398800849915]"
HD_DEMO_SK,"[-0.442001610994339, 0.20178306102752686, 0.9031574726104736, 0.25116562843322754, 0.4157892167568207, 0.37855446338653564, -0.9238826632499695, -1.2673428058624268, -0.2692848742008209, -1.28248131275177, -0.872799277305603, 2.1946327686309814, 1.0714668035507202, -0.9502651691436768, 0.6116558909416199, 0.3298477530479431]"
HD_DEP_COUNT,"[1.2487870454788208, 0.9654467701911926, 1.744691252708435, 0.8045238256454468, 0.8254784345626831, 0.3529416620731354, -0.3063623607158661, -0.8758456707000732, -0.774375319480896, -1.9316116571426392, 0.6959107518196106, 0.41964223980903625, 0.8358283042907715, 2.7011325359344482, 0.40624722838401794, 1.287650465965271]"
HD_VEHICLE_COUNT,"[1.5316225290298462, 1.0878022909164429, 2.417325735092163, 0.1666690856218338, 0.6530675292015076, -0.28754597902297974, -0.7169584631919861, -1.048932433128357, -0.9560314416885376, -1.7738844156265259, 0.600272536277771, -0.11261909455060959, 1.0425891876220703, 2.8073253631591797, 0.4070281982421875, 1.2213939428329468]"
ID,"[-1.975052833557129, -0.7742947936058044, 1.3297603130340576, -1.881369948387146, -1.8981527090072632, -0.9965539574623108, -1.271077275276184, -1.4192125797271729, 0.4063127040863037, -1.3394778966903687, 1.1329309940338135, 2.08512282371521, 0.08688318729400635, 0.3428284525871277, 1.4464375972747803, 0.6270149946212769]"
IN,"[1.1624767780303955, 0.7883573770523071, -0.36264023184776306, -0.8521718382835388, 0.16240808367729187, -1.4072543382644653, -0.13393041491508484, -0.16868457198143005, 1.8882296085357666, -0.8508979678153992, -0.48695632815361023, 1.5531702041625977, -0.9183585047721863, 1.1370059251785278, -0.7102211117744446, 1.0408761501312256]"
INFO,"[-1.1800745725631714, 0.520668625831604, 1.0904182195663452, 0.1901000589132309, 1.541355848312378, -0.687905490398407, -0.11868937313556671, -1.503495454788208, 0.6468667387962341, -0.47031643986701965, 1.2285339832305908, 1.554255723953247, -2.144378423690796, 0.16995666921138763, -0.680772602558136, 1.111727237701416]"
INFO_TYPE,"[-0.33184948563575745, 0.10525792837142944, 0.19962285459041595, 0.34070301055908203, 0.9998382329940796, -0.4580068290233612, -1.9666544198989868, 0.4995465576648712, 1.4531710147857666, -0.7793002724647522, 1.7494287490844727, 2.995584487915039, -1.5028252601623535, 0.8973954319953918, 0.7296426892280579, 0.6735289096832275]"
INFO_TYPE_ID,"[-1.434144377708435, -1.0443482398986816, 0.5113837718963623, -0.7902284860610962, 1.843622088432312, -0.7821837067604065, -2.0625596046447754, -0.36849480867385864, 0.5389160513877869, -0.34831833839416504, 1.5709775686264038, 2.5553998947143555, -1.6030157804489136, 0.5343614220619202, -0.5132237076759338, 0.6910769939422607]"
INNER,"[0.34667831659317017, -0.6656295657157898, 1.0448875427246094, 0.791691243648529, 0.15583017468452454, -0.738068699836731, -1.4539248943328857, -0.46440258622169495, -0.44330310821533203, -1.3687688112258911, -1.0569193363189697, 1.1924524307250977, 0.13548743724822998, -0.41135373711586, 0.3533611595630646, -0.8641208410263062]"
INTERVAL,"[-1.140380859375, 2.3610315322875977, 1.6335914134979248, 0.3320111334323883, 2.5524556636810303, 0.49699410796165466, -0.09820716083049774, 0.47225069999694824, 0.29245883226394653, -0.7925162315368652, -0.8174391388893127, 1.6347295045852661, -1.3009166717529297, 0.923144519329071, -0.34097427129745483, 0.48535865545272827]"
INV_DATE_SK,"[0.3350864350795746, -0.3466872572898865, 0.29999610781669617, -0.13464407622814178, 0.4507913589477539, -0.3544985055923462, -0.7729324102401733, -0.5855839848518372, -0.019575757905840874, -1.0261300802230835, -0.5565666556358337, 0.8336573243141174, 0.3486267626285553, -0.5836818814277649, -0.08387898653745651, 0.10279127210378647]"
INV_ITEM_SK,"[0.11387545615434647, -0.035426583141088486, 0.2318287044763565, 0.5771162509918213, 0.6442224979400635, -0.7114766836166382, -1.2600144147872925, -0.3543044626712799, -0.044631361961364746, -0.4649982750415802, -0.831816554069519, 0.5484203100204468, 0.2964603900909424, -0.035919006913900375, -0.3676290214061737, -0.1549883782863617]"
INV_QUANTITY_ON_H,"[0.054849736392498016, 0.026593707501888275, -0.010680504143238068, -0.006575912237167358, 0.025571420788764954, -0.019242025911808014, -0.041517771780490875, -0.004043444991111755, -0.05397186428308487, -0.041285738348960876, -0.00991145521402359, 0.037071458995342255, 0.035177186131477356, -0.029912032186985016, -0.009759016335010529, -0.0433085635304451]"
ITEM,"[1.1202294826507568, -0.04207824915647507, -0.04280977323651314, 0.4951747953891754, 0.6657567620277405, -0.816826581954956, -2.1064343452453613, -0.49615028500556946, -0.6287730932235718, -0.7316206097602844, -1.0647915601730347, 0.2607558071613312, -0.5663721561431885, 0.4502377212047577, -0.38889598846435547, 0.00826238002628088]"
I_BRAND,"[0.03550766035914421, 0.09212774783372879, 0.07629182189702988, -0.014469802379608154, 0.21020036935806274, -0.11737149953842163, -0.12845800817012787, -0.07875743508338928, 0.11794914305210114, -0.3188908100128174, -0.14502431452274323, 0.06352488696575165, -0.029940471053123474, 0.19848547875881195, -0.07342753559350967, 0.13792984187602997]"
I_CATEGORY,"[0.3001864552497864, 1.2911869287490845, -0.011496761813759804, 0.5407245755195618, 1.3858511447906494, -0.1691114753484726, -0.9196982979774475, -1.2166740894317627, 0.7493684887886047, -1.237701416015625, -0.7403936982154846, -0.12217250466346741, 0.5272917747497559, 0.30258283019065857, -0.22536274790763855, 0.03882822394371033]"
I_CURRENT_PRICE,"[0.29362034797668457, 1.0021917819976807, 0.8755372166633606, -0.09182676672935486, 0.23918424546718597, 0.08182816952466965, -0.37612226605415344, -0.030830269679427147, -0.5566120147705078, -0.6946589350700378, -1.073056697845459, 0.0818176195025444, 0.04786588251590729, 0.19659775495529175, 0.01098894327878952, 0.9430146813392639]"
I_ITEM_SK,"[1.048522710800171, -0.29962772130966187, 0.6624792814254761, 1.1803494691848755, 1.8712022304534912, -0.4901321232318878, -2.691298246383667, -1.0919522047042847, -0.09287452697753906, -1.028222680091858, -1.767277717590332, 0.013736589811742306, -0.3996022939682007, 0.38967379927635193, 1.3825522661209106, 0.20749779045581818]"
I_MANAGER_ID,"[0.4738263487815857, 0.337726891040802, 0.2619590759277344, 0.18615376949310303, 0.4918132722377777, -0.10603593289852142, -0.6474210023880005, -0.021818337962031364, -0.09865391254425049, -0.5129190683364868, -0.20341724157333374, 0.23976024985313416, 0.16616050899028778, 0.02240479737520218, -0.017708979547023773, 0.265069842338562]"
I_MANUFACT_ID,"[0.7913548946380615, 0.6240270137786865, 0.08858263492584229, -0.34132060408592224, 0.5830763578414917, -0.33265209197998047, -0.3823712468147278, -0.5488559007644653, 0.43505895137786865, -0.9983874559402466, 0.043061092495918274, 0.11988246440887451, -0.3665875792503357, 0.199151873588562, -0.41436105966567993, 0.8743064999580383]"
JOIN,"[0.43249648809432983, -0.39327192306518555, 0.7129977941513062, 0.07725854963064194, 0.4436068534851074, -0.8156881332397461, -1.9965778589248657, -1.3081098794937134, -1.0108349323272705, -2.400360345840454, -0.7871285080909729, 0.6761482357978821, -1.0765231847763062, -0.8058335185050964, -0.27012479305267334, -0.015740472823381424]"
KEYWORD,"[-0.43915846943855286, 0.8491532802581787, -0.7095966339111328, -0.8432443737983704, 0.7274645566940308, -2.5324878692626953, -1.9353440999984741, -1.6084507703781128, 1.9944204092025757, -0.10462942719459534, 0.6770894527435303, 1.2129675149917603, -0.12444566190242767, 1.0099010467529297, -0.8231731653213501, 1.2640743255615234]"
KEYWORD_ID,"[-0.32679879665374756, 0.48567187786102295, 0.09082403779029846, -1.4428492784500122, 0.7575690150260925, -1.8694063425064087, -1.849682331085205, -0.9641407132148743, 1.0468862056732178, 0.14540347456932068, 0.9145665764808655, 1.9418001174926758, 1.2904257774353027, 1.0848506689071655, -0.8211146593093872, 0.9866698980331421]"
KIND,"[-0.1317189633846283, -0.027697023004293442, 1.1387807130813599, 0.20563904941082, 0.895494282245636, -0.3198595941066742, -0.713744580745697, -2.6041078567504883, 2.3289408683776855, -0.4767533540725708, 0.052918028086423874, 0.9539005756378174, -1.0233021974563599, 1.4487158060073853, -0.2193555235862732, 0.2998312711715698]"
KIND_ID,"[0.9036100506782532, -0.5436155200004578, 2.2925186157226562, -0.2552269399166107, -0.029430098831653595, -0.18241673707962036, -0.9842709898948669, -1.2038031816482544, 1.4239178895950317, -0.02896728739142418, 0.20962965488433838, 1.6592668294906616, -0.5904425978660583, 0.8869066834449768, 0.08406861871480942, 0.34024035930633545]"
KIND_TYPE,"[1.1757564544677734, 0.7996042370796204, 1.2872729301452637, -0.3183673918247223, -1.0251648426055908, -0.583638072013855, -1.6177351474761963, -1.6246206760406494, 1.6378562450408936, -0.20134364068508148, 0.5457388162612915, 1.2894972562789917, -1.0388503074645996, 1.3600281476974487, 0.4115895628929138, 1.6599665880203247]"
LIKE,"[-0.22066602110862732, 0.8415522575378418, -0.7512111663818359, -0.43619415163993835, 1.8093825578689575, -1.5113240480422974, -0.2740640342235565, -0.45536571741104126, -1.83806574344635, 0.005707299802452326, -0.08901282399892807, 1.662703514099121, -1.0278116464614868, 1.6498644351959229, 0.2297118455171585, 0.17719268798828125]"
LIMIT,"[0.06522629410028458, 0.11315789818763733, 0.24438858032226562, -0.19085773825645447, 0.33058831095695496, -0.19005194306373596, -0.39281290769577026, -0.048542361706495285, -0.0449330098927021, -0.5428410768508911, -0.3893319368362427, 0.296070396900177, -0.11570337414741516, 0.1704673171043396, -0.1577157974243164, 0.39725765585899353]"
LINEITEM,"[-0.6993955969810486, -0.7017754316329956, 3.459672212600708, -0.9782861471176147, 2.748161792755127, -1.991193413734436, -0.3038768470287323, 0.23888413608074188, 0.38116610050201416, -0.07062368094921112, 0.3704894483089447, -0.5417458415031433, 0.34043073654174805, 1.1929659843444824, -0.9976015090942383, 1.9358625411987305]"
LINK,"[-1.6303414106369019, 0.004997172858566046, -0.04931163042783737, 0.6144335865974426, 0.8540036678314209, 0.027613071724772453, -1.2327107191085815, -0.8606252670288086, -0.163535475730896, -0.268050879240036, -0.550066351890564, 1.428540825843811, -0.975964367389679, 0.6456933617591858, -0.19291922450065613, 0.6408328413963318]"
LINKED_MOVIE_ID,"[-0.3178289532661438, -0.42094525694847107, 1.2242131233215332, 0.5796207189559937, -0.5275483131408691, -0.9597107768058777, -1.0644372701644897, -0.20365701615810394, -0.16137591004371643, -0.06544708460569382, 0.08776171505451202, 2.414111375808716, 0.2975742220878601, 0.32767531275749207, 0.04950684681534767, 0.8370134234428406]"
LINKTYPEID,"[0.6802199482917786, 0.009515197016298771, 1.1576085090637207, -0.15543267130851746, -0.13876210153102875, 0.7045565843582153, -1.377020001411438, 0.5226675271987915, 0.6259391903877258, -0.7120281457901001, 0.04113159701228142, 0.7363312244415283, 0.3630692958831787, 0.5500208139419556, -0.3006747364997864, 0.8618209362030029]"
LINK_TYPE,"[-1.8732081651687622, 0.30407413840293884, 0.30299875140190125, 1.2039456367492676, 0.36363810300827026, -1.2028559446334839, -1.930428147315979, -0.7575320601463318, 0.2350238859653473, 0.12996092438697815, -0.37577569484710693, 2.3080191612243652, -0.4723270535469055, 0.039935581386089325, -0.6614031195640564, 0.8991916179656982]"
LINK_TYPE_ID,"[-1.3245316743850708, -0.6224731802940369, 0.7082966566085815, 0.5069909691810608, 0.008346209302544594, -0.7999626994132996, -1.7651100158691406, -0.32582440972328186, 0.03981673717498779, -0.09291918575763702, -0.4304691553115845, 2.495253801345825, -0.07548332214355469, -0.05118948221206665, -0.32686474919319153, 0.7899311780929565]"
L_COMMITDATE,"[-0.780910074710846, 0.44089722633361816, 3.014461040496826, 0.019135702401399612, 1.6162126064300537, -1.1592564582824707, 0.08926889300346375, 0.8951957821846008, -0.8394147753715515, -0.7693465948104858, 0.9435531497001648, 0.22514912486076355, -1.3844166994094849, 0.9328201413154602, 0.10190221667289734, 1.5200963020324707]"
L_DISCOUNT,"[0.013592923060059547, 0.5535385012626648, 0.41733601689338684, 0.04790624603629112, 0.29832392930984497, 0.031989119946956635, -0.12255355715751648, -0.010688580572605133, -0.03924643620848656, -0.565538763999939, -0.4930589497089386, 0.18935665488243103, 0.09126308560371399, 0.30407658219337463, 0.05107281729578972, 0.19966618716716766]"
L_ORDERKEY,"[0.4657861292362213, -0.673507809638977, 1.9828308820724487, 0.18683725595474243, 1.8617706298828125, -2.0826778411865234, -0.6961020231246948, 1.0750545263290405, 0.5257750749588013, -1.1664592027664185, 0.24978046119213104, -0.589562177658081, 0.5288203358650208, 0.264370858669281, 0.12310635298490524, 2.2287392616271973]"
L_PARTKEY,"[-0.2373015135526657, -0.5533193349838257, 0.8361164927482605, 0.9424603581428528, 1.9728944301605225, -1.1958253383636475, 0.2401353120803833, 0.09179436415433884, 0.9025077223777771, -1.3944143056869507, -0.5168625712394714, 0.3199005722999573, 0.8505012392997742, 0.2921498417854309, -0.3780680000782013, 0.9779998660087585]"
L_QUANTITY,"[0.1377531886100769, 0.6477992534637451, 0.8173806071281433, -0.4775955080986023, 0.8790743947029114, 0.03355440869927406, 0.026907987892627716, -0.08562445640563965, -0.0010739935096353292, -0.6939923167228699, -0.6918388605117798, -0.19999878108501434, -0.2994424104690552, 0.25244221091270447, -0.06678378582000732, 1.4112586975097656]"
L_RECEIPTDATE,"[-1.08439302444458, 0.8277431726455688, 2.5466971397399902, -0.6910171508789062, 2.0670573711395264, -0.8901235461235046, 0.5132065415382385, 0.29008767008781433, -0.42385154962539673, -0.15145285427570343, -0.04449359327554703, 0.5389456748962402, 0.043661754578351974, 0.6751562356948853, 0.9581713676452637, 1.6970292329788208]"
L_RETURNFLAG,"[-0.1894010454416275, 0.2950742542743683, -0.10197558254003525, 0.35326486825942993, 0.5552952289581299, -0.16024383902549744, -0.3862932622432709, -0.36718055605888367, 0.379536896944046, -0.3960722088813782, -0.09027950465679169, 0.40169063210487366, -0.16302993893623352, 0.21365173161029816, 0.2859595715999603, 0.3737095892429352]"
L_SHIPDATE,"[-0.808031439781189, 0.897911548614502, 1.9642102718353271, 0.23064561188220978, 1.4983890056610107, 0.001624486641958356, 0.9295344948768616, 0.43776875734329224, -0.6638136506080627, -1.0387119054794312, -1.085636854171753, 1.1819303035736084, 0.5886038541793823, 0.7674957513809204, 0.6731160283088684, 1.3696397542953491]"
L_SHIPINSTRUCT,"[0.08601785451173782, 0.40033093094825745, -0.05150182917714119, 0.09773353487253189, 0.6397536993026733, -0.42180660367012024, -0.013374409638345242, -0.38990518450737, 0.40444448590278625, -0.8586004376411438, -0.11224491894245148, 0.03407374396920204, -0.1366262584924698, 0.5195838809013367, -0.1944466084241867, 0.4043618142604828]"
